nickname,add1,add2,add3,city,tel,area,tinno,mobile
AMIN EQUIPMENT LLP - SARKHEJ,"PLOT.NO- 222, MAKARBA,","NEAR SARKHEJ -SANAND CHOKDI,","SG HIGHWAY, SARKHEJ, AHMEDABAD",Ahmedabad  382210,079-26890981 9825604890  ,SARKHEJ,24074502235,9825604890
AMIN EQUIPMENTS PVT. LTD - SARKHEJ ,222  MAKARBA,"S. G. HIGHWAY,",SARKHEJ,Ahmedabad 382 210,26890981   ,SARKHEJ, ,9825604890/9925106046
AMIN MOTORS  - SARKHEJ,"SARKHEJ SANAND BAVLA CROSS ROAD,",NEAR SARKHEJ POLICE STATION,SARKHEJ,Ahmedabad  382 210,26825196   ,SARKHEJ,24074500138,9727869299
AMIN MOTORS -  ANAND,"NR.NARAYAN SHOPPING CENTRE,","SWAMINARAYAN SOCIETY ROAD,", SARDAR GANJ,Anand    ,O:243826  R-256411  9227123049  ,Anand, , 9227123049
AMIN OIL TRADERS - SARKHEJ,"Gujarat Complex,","S.G. Highway,",Sanand Chokdi,Ahmedabad  382210,26891276   ,SARKHEJ,24074501739,9898419944
AMIN SOLID WASTE - SARKHEJ,222  MAKARBA,"S. G. HIGHWAY,",SARKHEJ,Ahmedabad 382 210,26890981   ,SARKHEJ,NO TIN,9825604890/9925106046
AMIN TRACTOR SPARES -  ANAND,"NR. NARAYAN SHOPPING CENTRE,","SWAMINARAYAN SOCIETY ROAD,", ,Anand   388 001 ,"(02692)O-243826 R-256411,254215    ",Anand,24150101024 ,9227123049
AMIT  AUTOMOBILES - JAMNAGAR,K.V.ROAD,Nagnath Gate Char Rasta,Jamnagar,Jamanagar   361 001 , 9825460270      ,JAMNAGAR, 24100300628, 9825460270
AMIT AUTO PARTS - NARANPURA,C/o.DHARA MOTORS,"OPP.AMBICA PARTY PLOT, NR.A.E.C.","SOLA ROAD, NARANPURA,",Ahmedabad  380 013 ,27490605 26855042     ,NARANPURA, , 
AMIT AUTOMOBILES - PORBANDAR,"SHREEJI NIVAS,",S. V. P  ROAD,,Porbandar   360 575,0286-2244539 R-2244845  ,PORBANDER,,9426736676
AMIT ENTERPRISE - SARKHEJ," 4, Swaminarayan Estate,"," Near Sagar Hotel,", Sarkhej Gandhinagar Highway,Ahmedabad  382210, 26891141  26890114    ,SARKHEJ, , 9426006222
Amritlal Desai & Sons -  Madhapar,MADHAPAR HIGHWAY,,,Bhuj 370 020,(02832)24827 )50599 (R)  ,MADHAPAR,,
ANANAD AUTO SALES,,,,Anand   ,   ,Anand,,
ANAND AIR BRAKES - ASLALI,"NR, SAUBHAGYA HOTEL,","B/H- PATEL ROAD TRANSPORT PARKING AREA,","ASLALI-SARKHEJ RING ROAD, ASLALI",Ahmedabad 382427,9898356270   ,NAROL,,9898356270
ANAND AUTO CENTRE - KALAVAD,,OPP. MAMLATDAR KACHERI,,KALAVAD  (SHITLA) 361 160,9879790946   ,rajkot,NO TIN,9879790946
ANAND AUTO PARTS - KADI,"6, JAGAT DARSHAN SHOPPING CENTRE,","KADI KALOL ROAD,",,KADI   ,   ,KADI,24040900362,9426279570
ANAND AUTO PARTS - KHEDBRAHMA,"NER S.T. STAND,","AMBAJI HIGHWAY,",,Khedbrahma 383 255,9825519070 9428831231  ,KHEDBRAHMA,NO TIN,9825519070/9428831231
ANAND HARDWARE AGENCY - SARKHEJ,OPP. GOPAL HOTEL,"UJALA CIRCLE, SARKHEJ ",AHMEDABAD,Ahmedabad 382 210,   ,SARKHEJ,,9375001999
ANAND MOTORS - DEESA,"OPP. VISHVAKARMA MARKET,","HIGHWAY,",,Deesa   385 535,02747-230200 224186  ,DEESA, 24020902435 ,9879312200
ANAND MOTORS - KADI,"NEAR NOBLE SCHOOL,","NANDASAN ROAD,",,KADI   382 715,9904742648   ,KADI,NO TIN,9904742648
ANAND SHAKTI - ANAND,"NEAR BUS STAND,","N.H.NO.8,",VAGHASI, ANAND  ,8866456742   ,Anand,24151002975,8866456742
Anand Traders - Anand,"Opp Lotiya Bhagol Petrol Pump,",,,Anand   388001,252457   ,Anand,NO TIN,9925580101
ANANT AUTOMOBILES -  RANOLI,"B/19, RANOLI COMMERCIAL COMPLEX,","G.I.D.C.,"," N. H. NO. 8,",Ranoli 391 350 ,0265-2308594 R-706151    ,RANOLI,  24191900243, 
ANANT SALES CORPORATION -  DEHGAM,"OPP.PRAKASH HIGH SCHOOL,",RAKHIAL,"TA. DEHGAM,",Dehgam   382 315 ,02716-67578      ,DEHGAM, , 
ANIL  S.  MEHTA,,,,Himatnagar   ,   ,rajkot,,
ANIL AUTOMOBILES - ASLALI,"9, SHREENATH TRASPOT NAGAR,","NR. HOTEL ZITA, OPP. B.P. PETROL PUMP,","S.P. RING ROAD, ASLALI CIRCLE,",Ahmedabad  ,9824677375   ,NAROL,24075003210,"9824677375,8460050302"
ANIL AUTOMOBILES - SARKHEJ,"9, GOKUL COMPLEX,","PRIME ESTATE - 2, NEAR JAMNAGAR TRANSPORT COMPANY,","SARKHEJ-BAVLA ROAD, SARKHEJ",Ahmedabad  ,9824091381 26890859  ,SARKHEJ,24070700275,9824091381
ANIL AUTOMOBILES -MIRZAPUR,"NR. TRIKONIA GARDEN,","MIRZAPUR,",,Ahmedabad  380 001,25624712   ,MIRZAPUR,24070700275 ,
ANIL MOTORS - JAMKHAMBALIA,"JADESHWAR ROAD,","OPP. KRISHNA WAY BRIDGE,","CHAR RASTA,",Jam Khambhalia   361 308,232580   ,JAMKHAMBHALIA,,
ANJANI AUTO AGENCY - MEHSANA,"10, SUDARSHAN COMPLEX,","RAMOSANA CHAR RASTA,","HIGHWAY , MEHSANA",Mahesana ,9825886211   ,Mehsana,24040706427,9825886211
ANJANI AUTOMOBILES -  SURENDRANAGAR,"SHREEJI COMPLEX,","S.T. ROAD,","OPP : VIJAY TRANSPORT COMPANY,",Surendra Nagar 363 002 ,(02752)O-225076 R-34975    ,SURENDRANAGAR,NO TIN, 
ANJANI MOTORS - TIMBDI PATIA,"NEAR ASHWAMEGH HOTEL, ","KANDLA HIGHWAY,","TIMBDI PATIA,",Morbi ,9974270688   ,MORBI,NO TIN,9974270688
ANKIT AIR COMP. SERVICE - VATVA,"SHADE NO.5, PUSHPAK INDL. ESTATE,","NIKA TUBE COMPOUND, PHASE-1,","G.I.D.C., VATVA",Ahmedabad  ,25830438   ,AHMEDABAD,,9825299130
ANKIT AUTO AGENCY -MIRZAPUR,"K.B. COMMERCIAL CENTRE,","NR.  DINBAI TOWER,","MIRZAPUR,",Ahmedabad 380 001 ,25507973       ,MIRZAPUR, , 
ANKIT AUTO PARTS - BOTAD,OPP: KHODIYAR MANDIR,"NEAR DHARAMSHALA, ","HAJAM'S SIDI,",BOTAD   364 710,02849-242340 R-254366  ,BOTAD, ,
ANKIT AUTOMOBILES - AHMEDABAD,"C-24,RAJRATNA SHOPPING CENTRE,","NEAR R.D.VIDHYALAYA,","GAURI CINEMA, N.H. ROAD,",Ahmedabad   ,O-2891919      ,AHMEDABAD, , 
ANKIT TRADERS -MIRZAPUR,"OPP.ST.XAVIER SCHOOL,","MIRZAPUR ROAD,", ,Ahmedabad 380 001 , 25627888  25624054    ,MIRZAPUR, , 9879550322
ANKIT TRADING CO. - SARKHEJ ,"8, GUJARAT ESTATE - B","SARKHEJ SANAND ROAD, ","SARKHEJ,",Ahmedabad 382 210 , 26891110 R-27522312  9925551754  ,SARKHEJ, ,9974678354/9825896573
ANKUR AUTOMOBILES - RAJKOT,"NEAR KISHAN SERVICE STATION,","GREEN LAND CHOKDI,",MORBI ROAD,Rajkot   360 006,98245 37601   ,rajkot,,9824537601
ANKUR AUTOMOBILES - RANOLI,"A-14, RANOLI COMMERCIAL COMPLEX,","G.I.D.C., N.H. NO.8,",RANOLI,Baroda 391 350,0265-2308683   ,RANOLI,24191900337,9327507687
ANKUR ENTERPRIES - RAJKOT,"NEAR MALAVIYA PETORL PUMP,","GONDAL ROAD,",,Rajkot   360 002,0281-2460487   ,rajkot,24090600646,9824864669
Anmol Trading - Sarkhej,"Sarkhej Bavla Road,","Besides Apsara Hotel,",Sarkhej,Ahmedabad 382 210,65133257   ,SARKHEJ,24074502927,9725011120 / 9725077774
ANNUR AUTO CENTRE -  BALASINOR,"ALNUR SOCIETY,","AHMEDABAD ROAD,",BALASINOR ,Balasinor  , 9825944276      ,BALASINOR, ,"9737238194 , 9825944276"
ANUPAM  ," NEAR TAFE SHOW ROOM,", DEESA PALANPUR HIGHWAY, ,Deesa   385 535,   ,DEESA,,9825050429
ANUPAM AUTOMOBILES - PALANPUR,"2,KARNAVATI SHOPPING CENTRE",HIGHWAY, ,Palanpur  ,(02742)O-60810. R-52667    ,PALANPUR, , 
ANURADHA INDUSTRIES - MEHSANA,,RADHANPUR ROAD,,Mehsana   ,9427684108   ,Mehsana,,9427684108
AONE AUTOMOBILES - DEHGAM,"OPP, S.T. STAND","DEHGAM,",,Dehgam ,02716-232075 9825628111  ,DEHGAM,,"02716-232075, 9825628111"
APCO AUTO AGENCY - RAJKOT,"2, Sairam Chambers,","Opp Bombay Hotel, ","Gondal Road,",Rajkot   ,2464302   ,rajkot,24090703725,9824653079
APCO AUTOMOBILES - BARODA,"UG - 15,16, RATNADEEP GREENS,","OPP BHARAT PETRO PUMP,BESIDE MM VORA SHOW ROOM,","NR, SOMA TALAV CHAR RASTA, DABHOI ROAD, VADODARA",BARODA ,   ,BARODA,24191202260 DTD - 31/12/2012,7600056940
APCO MOTORS -  MIRZAPUR,"OPP.DINBAI TOWER,","MIRZAPUR ROAD,", ,Ahmedabad 380 001 ,25506868  25506793     ,MIRZAPUR, ," 9824653564,9824603750"
APCO MOTORS - BARODA,"BARDAN GALI,","NAVA BAZAR NAKA,",,BARODA ,7600056940   ,BARODA,24190600670,7600056940
Apco Motors India Pvt.Ltd. - Narol,"Plot No - 193/1-2,","Jayraj Estate, Near Shree Krishna Temple,","Near Lambha Turning, Narol",Ahmedabad  ,7567888803   ,NAROL,24070701091,7567888803
APEX  AUTOMOBILES -SIDDHPUR,TAVADIA CHAR RASTA,HIGHWAY,SIDDHPUR,Siddhpur   384 151,02767-330392   ,SIDHPUR, ,
ARASTA TRACTOR PARTS -SARKHEJ ,"SHREEJI WAY BRIDGE,","SANAND SARKHEJ CHAR RASTA,","SARKHEJ,",Ahmedabad 382 210 , 26890261      ,SARKHEJ, ,"9824351629,9825851629"
ARBUDA  AUTOMOBILES -ODHAV,"NO-7,MANGALIYA COMPLEX,","NEAR SAI PALACE HOTEL,NR. MAHINDRA SHOW ROOM,","S.P. RING ROAD,ODHAV",Ahmedabad  380 015,72280 98887 7228998887  ,NAROL,NO TIN,7228098887
ARBUDA MOTORS - VASTRAL,"SHOP.NO - 10, BLOCK - H,","NAIYA COMMERCIAL COMPLEX,","S.P. RING ROAD, VASTRAL",Ahmedabad  ,9724804816   ,NARODA,NO TIN,9724804816
ARBUDA TRACTOR PARTS -  DEESA,"10, UMAJI COMPLEX,","RTO CHECK POST,DHANERA HIGHWAY,","OPP.DIAMOND PETROL PUMP,",Deesa   385 535  ,"02744-270399,  R-274296    ",DEESA, , 
ARIHANT  AUTOMOBILES. - CHHANI,"11-A,SHAH CHAMBERS,","RAMAKAKA ROAD,", DIST. BARODA,Chhani   391 740 , 0265-2762389 R-5586585    ,CHHANI, , 
ARIHANT AUTO AGENCY -  MEHSANA,"11, SIMANDHAR SHOPPING CENTRE,","OPP.PASHABHAI PETROL PUMP,","NAGALPUR,",Mehsana   384 002 ,02762-257981 254643     ,Mehsana, , 
ARIHANT AUTO PARTS - GANDHINAGAR,"SECTOR 28, G.I.D.C.",BELOW YASH HOTEL,,Gandhinagar 382 028,9924455822   ,GANDHINAGR,,9924455822
ARIHANT AUTO PARTS - SARKHEJ,"BAVALA GANDHINAGAR CROSS ROAD,","SARKHEJ,", ,Ahmedabad  382 210,26890832      ,SARKHEJ, , 9925917832
ARIHANT AUTOMOBILES -  GANDHIDHAM, , , ,Gandhidham    ,       ,GANDHIDHAM, , 
Arihant Automobiles - Rajkot, ,"15 VIJAY PLOT,", ,Rajkot 360 002,0281-2481378      ,,24090401141,9374101369
ARIHANT AUTOMOBILES - VERAVAL,"MINAXI HOTEL BUILDING,","JUNAGHADH ROAD,",,Veraval 362 266,241485 R-242937  ,VERAVAL,NI TIN,9824465290
ARIHANT AUTOMOBILES. - AHMEDABAD,"285,YADUNANDAN ESTATE,","OPP. KHODIARNAGAR POLICE CHOWKI,","NR.SUKHRAM ESTATE, RAKHIAL,",Ahmedabad   ,274 6959      ,AHMEDABAD, , 
ARIHANT MOTORS - AHMEDABAD,"C/O. ADINATH AUTO PARTS,", ,GOTA,Ahmedabad  ,       ,AHMEDABAD, , 
ARIHANT MOTORS - BODAKDEV,"B-3, MOHINI TOWER,","OPP.SHRADDHA PETROL PUMP,","JUDGES BUNGLOW ROAD, BODAKDEV,",Ahmedabad  380 015,55300337   ,SOLA, ,9825284131
ARIHANT OIL TRADERS - NARODA,"G-4, KULDEEP CHAMBER,","OPP, PRAKASH HING HIGH SCHOOL,","KRISHNANAGAR, NARODA",Ahmedabad  ,9376148857 079-22819693  ,132 FT ROAD,24072702178,9376148857
ARIHANT TRACTOR PARTS -  AHMEDABAD,"107,GOLDEN TOWER F/F",NEAR K.B.COMM.CENTER,"DINBAI TOWER,MIRZAPUR,",Ahmedabad 380 001 ,"5510297,R-74854 27    ",AHMEDABAD, ,
ARIHANT TRACTOR PARTS - SARKHEJ,"15, M.D. CHAMBERS,","NEAR SUPREME RADIATORS,","SARKHEJ SANAND CROSS ROAD, ",Ahmedabad 382 210,26890910   ,SARKHEJ,,9825067070/9426767290
Arjun Automobiles - Rajkot,"2, AVADH TOWER,","NEAR FORTUNE HOTEL, UMIYA CHOWK,","150 FEET RING ROAD, RAJKOT",Rajkot  360 002,2331065      ,, ,9898214120
ARJUN TRACTOR PARTS - MORBI,"AYODHYAPURI,",MAIN ROAD,,MORBI  363 641,   ,MORBI,,9427505244
ARKAY LOGISTICS LTD - HAZIRA,"27th KM,","SURAT HAZIRA ROAD,",SURAT,Surat 394 270,9879202681 261-6683600  ,HAJIRA,,9879202681
AROMA LUBRICANT - DEESA,"VRUNDAVAN COMPLEX,",OLD R.T.O.,"ANKHOL CHOKADI,",Deesa   385535,9824367497   ,DEESA,24020901998,9824367497
AROMA TRACTOR PARTS -  DEESA,"OPP. RTO CHECK POST,","VRINDAVAN COMPLEX,", ,Deesa   385 535 ,"(02744)270840,R -283437    ",DEESA, , 
ARUNODAY ENTERPRISE - LAKHANI,NEAR BUS STAND ,LAKHANI ,DIST. DEESA,LAKHANI    ,02744-256325      ,DEESA, , 9925637801
ARVIND  AUTOMOBILES - BHAVNAGAR,"SUTHAR WAD,", , ,Bhavnagar  ,O:427438  R:427 708    ,BHAVNAGAR, , 
ARVIND AUTOMOBILES - NARODA,"4/5,AVLI JAMAT TRUST BULDING,","B/H VOHRA'S ROZA,","NR. BAPU BATTERY,SARASPUR,",Ahmedabad 380 018 ,22200604 22203496 R-27478467   ,NARODA, , 
ARVIND AUTOMOBILES. - MEHSANA ,"NATIONAL HIGHWAY ROAD,", , ,Mehsana 384 002 ,(02762)O-253577 R-240668    ,Mehsana, , 9429733937
ARZOO MOTORS -  HIMATNAGAR,"UL/8 SAMRUDDHI COMPLEX,","OPP. NYAY MANDIR BUS-STOP,", ,Himatnagar   383 001 ,(02772)O:244681  R:222279    ,HIMMATNAGAR, , 
ASAWARA TECHNO TRADING -  HIMATNAGAR, ,"MAHETAPURA CHAR RASTA,","IDAR HIGHWAY ROAD,",Himatnagar   383 001 ,"(02772)O-48480, R-46713.84328    ",HIMMATNAGAR, , 
ASHA AUTO ELECTRIC REPAIRING -  AHMEDABAD,"NEAR GOPAL HOTEL,","SARKHEJ HIGHWAY,",SARKHEJ,Ahmedabad   382 210,       ,SARKHEJ, , 
ASHA AUTOMOBILES - BARODA,"KHASWADI ROAD,","KARELIBAUG,",,Baroda ,2493582 9824340334  ,BARODA,NO TIN,9824340334
ASHAPURA AUTO PARTS  SARKHEJ,"NEAR UJALA HOTEL,","NEAR UPKAR MOTOR GARAGE,","SARKHEJ BAVLA HIGHWAY, SARKHE,",Ahmedabad 382 210,9408139933   ,SARKHEJ,,"9408139933,9824352931"
ASHAPURA AUTO PARTS - RAJULA,,"NR. DR. LADUMAL,","JAWAHAR ROAD,",Rajula ,9427244611   ,RAJULA,24131300268,9427244611
ASHAPURA AUTOMOBILES - DEESA,NEAR R.T.O. CHECK POST,AKHOL,,Deesa   385 535,   ,DEESA,,
ASHAPURA GENRAL MOTORS - SANAND,"1, SHIVKRUPA SOCITEY,","NEAR STATE BANK OF INDIA,","SARKHEJ-SANAND ROAD,SANAND",Ahmedabad  ,9099090310   ,SANAND,NO TIN,9099090310
ASHAPURA SPARE PARTS - VAPI,"G-3, RAVI PALACE,","NR. RELIANCE SUPER MARKET,",G.I.D.C.,Vapi   396 193,9376016240   ,VAPI,,9376016240
ASHAPURI AUTO CENTER -  AHMEDABAD,"NR.IMPERIAL MOTOR STORES,","SARKHEJ G'NAGAR HIGHWAY,",SARKHEJ,Ahmedabad  382 210 ,       ,SARKHEJ, , 
ASHIRWAD AUTO PARTS -  PALANPUR,"NEAR ARUN PETROL PUMP,","AHMEDABAD HIGHWAY,", ,Palanpur   385 001 ,(02742)-60440 R -53558    ,PALANPUR, , 
ASHIRWAD MOTOR REPOWEING - IDAR,"KALPTARU COMPLEX,","NEAR PATHIK PETROL PUMP,","BHILODA THREE ROAD,",Idar   ,9228124230   ,IDAR,NO TIN,9228124230
ASHISH  AUTOMOBILES -  PALANPUR,"NR.GATHAMAN PATIA,",AHMEDABAD HIGHWAY, ,Palanpur   385 001 ,02742-255078 258913    ,PALANPUR, , 9426827051
ASHISH  AUTOMOBILES. - MIRZAPUR,"RUSTAMALI DHAL,","MIRZAPUR,",,Ahmedabad ,       ,MIRZAPUR, , 9825286618
Ashish Auto & Tractors - Rajkot,"PLOT.NO - 10, ADITYA INDUSTRIAL ZONE,","OPP, PATEL VIHAR RESTAURANT, ",NEAR AMUL CRANKSHAFT PVT.LTD. RAJKOT,Rajkot  ,0281-6571220  0281-6572285    ,,24090703304,9824284015
ASHISH AUTO PARTS - MEHSANA,"13,SAHKAR CHAMBERS,","MODHERA CHAR RASTA,","STATE HIGHWAY,",Mehsana   384 002 ,(02762)O-252988 253904    ,Mehsana, , 
ASHISH AUTOMOBILES - CHANDKHEDA,"3,KRUPA COMPLEX,","OPP. A.M.T.S. BUS STOP,",CHANDKHEDA,Ahmedabad 382 424,27518152   ,CHANDKHEDA, ,9825098152
ASHISH AUTOMOBILES - DUMAD,"JALARAM ESTATE,","NR.CHHANI-DUMAD CHOKDI,","N.H.NO.8, POST DUMAD, ",BARODA   391 740,6945911   ,BARODA,,9824635622
ASHISH AUTOMOBILES. - DIST:BARODA,"GODAMA PETROL PUMP,","N.H.NO:8,",CHHANI,Chhani    ,O:(PP)370870 R: 325532    ,CHHANI, , 
ASHISH CENTRE - RAJKOT,"NEAR RAILWAY CROSSING OVER BRIDGE,","RING ROAD BY PASS,",N. H. NO.8 B,Rajkot   ,   ,rajkot,NO TIN,
ASHISH MOTORS - AHMEDABAD,"OPP. PATCO AUTOMOBILES,","KHANPUR ROAD,", ,Ahmedabad  ,       ,AHMEDABAD, , 
ASHISH TRACTOR & AUTO PARTS - HARIJ,,HIGHWAY,,Harij   384 240,02733222957   ,HARIJ,,9427372986
ASHKA AUTOMOBILES - AHMEDABAD,"MITHKHALI SIX ROADS,", , ,Ahmedabad  ,       ,AHMEDABAD, , 
ASHOK AUTOMOBILES - AHMEDABAD,MIRZAPUR, , ,Ahmedabad  380 001 ,25501703      ,MIRZAPUR, , 
ASHRAY AUTOMOBILES - PORBANDAR,"SAMARPAN COMPLEX,","OPP, DR, TRIVEDI HOSPITAL,","KHAKH CHOWK, PORBANDAR",Porbandar ,9825902558 7405977090  ,PORBANDER,NO TIN,9825902558
ASHWAMEGH  HYDRAULICK LUBRICANT - ADALAJ,"2, SAHJANAND COMPLEX,","OPP, BALAPIR DARGHA,",ADALAJ,Ahmedabad ,99098 95605   ,ADALAJ,24060303963,99098 95605
ASHWIN AUTO CENTRE - TALAJA,"VADIBHAI MEHTA MARG,","OPP, BRANCH SCHOOL NO - 3,",TALAJA,Talaja   ,9427430417 9427430418  ,TALAJA,NO TIN,"9427430417,9427430418"
ASHWIN AUTO PARTS - IDAR , ,"VALASANA HIGHWAY,", ,Idar    ,02778-51326      ,IDAR, , 
ASHWIN AUTO PARTS - SABARMATI,"OPP. OLD OCTOI NAKA,","SABARMATI,", ,Ahmedabad 380 005 ,27501168  27506093     ,SABARMATI, ,98254 42223
ASHWIN AUTOMOBILES - AHMEDABAD,"MIRZAPUR ROAD,", , ,Ahmedabad  380 001 ,25500733      ,MIRZAPUR, , 
ASHWIN AUTOMOBILES - RAJKOT,OPP. RAJKAMAL PETROL PUMP,"GONDAL ROAD,","POST VAVADI, KOTHARIA",Rajkot   390 004,2365423   ,rajkot,,9426216247
ASHWIN MOTORS - RAJKOT,"NEAR S.T. WORK SHOP,","GONDAL ROAD,",RAJKOT,Rajkot ,9824224236   ,rajkot,NO TIN,9824224236
Ashwin Petroleum - Anand,"Saikrupa Complex,","Chikhodra Chowkdi,",,Anand   ,   ,Anand,NO TIN,9227145761
ASIA  AUTO AGENCY - SARKHEJ,"6, KHODIYAR ESTATE","OPP. SAGAR HOTEL,HIGWAY ROAD,",SARKHEJ,Ahmedabad  382 210,26891486   ,SARKHEJ, ,98240 74843
ASIAN AUTO PARTS - KANODAR,C/o. KIZ MOTORS,"NEAR AVON HOTEL,", HIGHWAY,Kanodar   ,   ,KANODAR,24020801548,
ASIAN AUTOMOBILES - GODHRA,"NR. KRISHNA AUTO GARAGE,","SAPA ROAD TURNING,","LUNAWADA ROAD, BHURAVAV,",Godhra   389 001,02672-261693   ,GODHRA, ,
ASIAN MOTOR STORES - NAROL ,"7,JAI JAGDISH ESTATE,","NEAR MAYAPURI KABADI,","SARKHEJ ROAD, NAROL,",Ahmedabad 382 405 ,25715157      ,NAROL, ,"9429129595,9429129596"
ASIAN MOTORS - VAPI,"8, BASS SHOPING CENTRE,",G.I.D.C.CHAR RASTA,,Vapi   369 195,   ,VAPI,,9879017175
ASIF AUTO PARTS - BHARUCH,"2, SOLY COMPLEX,","JAMBUSAR ROAD,",BHARUCH BY PASS,Bharuch ,   ,bharuch,NO TIN,9722520031
ASPI CARS PVT.LTD. - VASNA,NEAR VISHALA HOTEL,OPP BACHA MOTORS,"SARKHEJ NAROL ROAD , VASNA",Ahmedabad  ,   ,SARKHEJ,24074100633,
ASRAF AUTO PARTS - DABHAN,"DABHAN  CROSS ROAD,","NADIAD ROAD,",DABHAN,Ahmedabad  ,9925848576   ,Dabhan1,NO TIN,9925848576
Atul Auto Ltd - Rajkot,"8-B National Highway,","Near Microwave Tower,",Shapar (Verval),Rajkot   360 002,02827 253299 254499 252996/98/99,rajkot,,9824211999
AUM AUTO PARTS - VALSAD,"SHOP.NO - 40, TIRUPATI PLAZA,","NEAR CNG PUMP, DHARAMPUR CHOKDI,","NH.NO - 8, VALSAD",Valsad ,"9979485272,   ",VALSAD,NO TIN,"9979485272,"
AUM MOTORS - SABARMATI,"6, GHANSHYAM SHOPPING CENTRE,","NEAR VISAT PETROL PUMP,",SABARMATI,Ahmedabad 380 005,23972144   ,SABARMATI, ,"9898122030,9974887777"
AUTO  CENTRE -  AHMEDABAD,OPP.JANASATTA KARYALAY,"MIRZAPUR,", ,Ahmedabad  380 001 ,       ,MIRZAPUR, , 
AUTO & TRACTOR PARTS - BODAKDEV,"404, PARICHAY APPARTMENT,","JUDGES BUNGLOW CROSS ROAD,","BODAKDEV, AHMEDABAD",Ahmedabad ,9825219909   ,NARANPURA,,9825219909
AUTO & TRACTOR SPARES - AHMEDABAD,"4, SHANTI SADAN ESTATE,","MIRZAPUR,", ,Ahmedabad  380 001 ,25506164      ,MIRZAPUR, , 
AUTO CARE - MIRZAPUR,,"ST.XAVIERS SCHOOL CORNER,","MIRZAPUR,",Ahmedabad 380 001,25503605 26630805  ,MIRZAPUR,24070700685,9428422637
AUTO CARE - NARANPURA,"LAKHUDI TALAV,","OPP. VIHTAL PATEL COLONY,","NAVRANGPURA,",Ahmedabad  380 014,26461572   ,AHMEDABAD, ,9898159502
AUTO CENTRE - MADHAPAR HIGHWAY,"Plot No 1 , Happy Commercial Centre,","Madhapar Highway,",,BHUJ1  ,02832 245104  ,MADHAPAR,24010500399 Dt:1/10/05 ,"9426916127,9428468819 "
Auto Centre - Mundra,"Ratankola Arcade,","Port Road,", ,Mundra  ,       ,DHANSURA,24010900474,9428566819
AUTO EXPERT - MIRZAPUR,"12, SNEHA COMPLEX,","NEAR JANASATTA PRESS,","MIRZAPUR,",Ahmedabad 380 001,9825106623   ,MIRZAPUR,24070701915,9825106623
AUTO HOUSE -  SARKHEJ ,"NR. SUNIL COACH BUILDERS, ",SARKHEJ-BAVLA HIGHWAY. ,SARKHEJ,Ahmedabad 382 210 , 65442171      ,SARKHEJ, , 9328067770
AUTO MECHANIKA - AHMEDABAD,"KRISHNA COMPLEX,NR.JAIN DERASAR,","OPP.UMIYA VIJAY OCTROINAKA,","SATELLITE,",Ahmedabad  ,       ,AHMEDABAD, , 
AUTO RANGE - SARKHEJ,"4, M.D. CHAMBERS","SARKHEJ SANAND ROAD,",SARKHEJ,Ahmedabad  382 210,   ,SARKHEJ,,
AUTO RIDERS - AHMEDABAD,"1/2, DIVYA PRAKASH SHOPPING CENTRE,","NEAR ASHISH SCHOOL,","BEHIND SATYAGRAH CHHAVNI,",Ahmedabad ,26869069 26860714  ,AHMEDABAD, ,"9825016122,9925003624"
AUTO RIDERS SERVICE CENTRE - VASTRAPUR,"1/2 DIVYA PRAKASH SHOPPING CENTRE,",NEAR ASHISH SCHOOL,"B/H SATYAGRAH CHHAVNI,",Ahmedabad 380 054,26860714 26869069  ,NARANPURA,24073606398,"9825016122,"
AUTO SPARE - MEHSANA,"46, SARDAR PATEL VYAPAR SANKUL","URBAN ROAD,",MAL GODWAN,Mehsana   384 002,    ,Mehsana,24040706356,9427487484/9427487483
AUTO SPARES - NAROL,"OSWAL ESTATE,","NEAR EVERGREEN HOTEL,",NAROL,Ahmedabad 382 405 , 25355732 25329123     ,NAROL,24075000281,"9898707258,9898311062"
AUTOCRAFT - VASTRAPUR,C/O - AUTO RIDERS SERVICE CENTRE,"NEXT TO - G.T.P.L. HOUSE, OPP, ARMEDA HOUSE,","B/H SHILP AARON BUILDING,PAKWAN-SINDHUBHAVAN ROAD",Ahmedabad  ,26860714 26869069  ,NARANPURA,NO TIN,"9825016122,"
AUTOKRAFT - BHAVNAGAR,"D.M.72, MAIN ROAD,","KALVI BID,",, Bhavnagar   364 002,0278-562868   ,BHAVNAGAR, ,9879022030
AUTOWAY -  AHMEDABAD,"MANGALAYA COMPLEX,","B/H. BANK OF BARODA,","BHATTHA, VASNA,",Ahmedabad  380 007 ,"6640496,6642774      ",AHMEDABAD, , 
AVADH AUTO AGENCY - BARODA,"3, HARIBHAKTI COMPLEX,","OPP, M.C. HIGH SCHOOL,","SALATWADA, BARODA",Baroda ,9909912210 0265-2459591  ,BARODA,24190602579,9909912210
AVADH MOTORS - AMRELI,"OPP. SHRI SARSWATI VIDYALAY,","LATHI ROAD, AKSHAR PARK,",NEAR TIRUPATI PAN CENTRE,Amreli 364 601,   ,Amreli, 24130102068,
AVADHOOT AUTO AGENCY - GANDHINAGAR,"148/1, DISTRICT SHOPPING CENTRE,","SECTOR - 21,",GANDHINAGAR,Gandhi Nagar ,23211485   ,ADALAJ,,9825262291
